;Ardea_cocoi;Ardea_alba;Bubulcus_ibis;Egretta_caerulea;Egretta_thula;Nyctanassa_violacea;Nycticorax_nycticorax;Vanellus_chilensis;Pluvialis_squatarola;Numenius_hudsonicus;Tringa_flavipes;Tringa_melanoleuca;Charadrius_collaris;Charadrius_semipalmatus;Tringa_semipalmata;Arenaria_interpres;Sterna_spp;Actitis_macularia;Calidris_pusilla;Aramides_mangle;Limosa_haemastica;Limnodromus_griseus;Himantopus_melanurus
LG_2023_seca;1;70;7;366;182;0;1;0;108;200;1;16;0;308;19;21;4;7;519;0;2;240;0
LG_2023_chuvosa;1;37;1;330;150;4;1;4;15;61;3;3;2;142;2;7;0;0;0;8;0;0;5
