;Ardea_cocoi;Ardea_alba;Bubulcus_ibis;Butorides_striata;Egretta_caerulea;Egretta_thula;Nyctanassa_violacea;Nycticorax_nycticorax;Vanellus_chilensis;Pluvialis_squatarola;Numenius_hudsonicus;Tringa_flavipes;Tringa_melanoleuca;Charadrius_collaris;Charadrius_semipalmatus;Tringa_semipalmata;Arenaria_interpres;Sterna_hirundo;Thalasseus_acuflavidus;Gelochelidon_nilotica;Actitis_macularia;Calidris_pusilla;Calidris_lba;Aramides_mangle;Limosa_haemastica;Limnodromus_griseus;Himantopus_melanurus
IR_chuvosa;0;52;5;9;67;207;1;1;16;11;55;0;4;0;3;4;12;11;2;0;0;0;19;0;0;0;2
IR_seca;0;30;1;1;0;46;10;1;0;30;104;2;2;1;129;11;3;0;0;0;73;32;1;0;0;0;0
