especie;nome_comum_ingles;nome_comum_portugues;categoria_ameaca;imagem;macho;femea_jovem;audio;video
Attila rufus;Gray-hooded Attila;Capitão-de-sa¡ra;LC - Pouco Preocupante;Attila_rufus.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/30870/embed;https://macaulaylibrary.org/asset/641567067/embed
Pitangus sulphuratus;Great Kiskadee;Bem-te-vi;LC - Pouco Preocupante;Pitangus_sulphuratus.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/65167/embed;https://macaulaylibrary.org/asset/201978361/embed
Ardea alba;Great-egret;Garça-branca-grande;LC - Pouco Preocupante;Ardea_alba.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/622217835/embed;https://macaulaylibrary.org/asset/616552251/embed
Saltator similis;Green-winged Saltator;Trinca-ferro;LC - Pouco Preocupante;Saltator_similis.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/13530/embed;https://macaulaylibrary.org/asset/721681/embed
Opisthocomus hoazin;Hoatzin;Aturiá;LC - Pouco Preocupante;Opisthocomus_hoazin.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/63642/embed;https://macaulaylibrary.org/asset/201174251/embed
Anhima cornuta;Horned Screamer;Anhuma;LC - Pouco Preocupante;Anhima_cornuta.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/7879/embed;https://macaulaylibrary.org/asset/466423/embed
Anodorhynchus leari;Indigo Macaw;Arara-azul-de-lear;EN - Em Perigo;Anodorhynchus_leari.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/25405/embed;https://macaulaylibrary.org/asset/201589531/embed
Cyphorhinus arada;Musician Wren;Uirapuru-da-Guiana;LC - Pouco Preocupante;Cyphorhinus_arada.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/201118/embed;https://macaulaylibrary.org/asset/200946461/embed
Patagioenas plumbea (Columba plumbea);Plumbeous Pigeon;Pomba-amargosa;LC - Pouco Preocupante;Patagioenas_plumbea.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/216437/embed;https://macaulaylibrary.org/asset/201696761/embed
Ara chloropterus;Red-and-green Macaw;Arara-vermelha;LC - Pouco Preocupante;Ara_chloropterus.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/22094/embed;https://macaulaylibrary.org/asset/381327161/embed
Orthopsittaca manilatus;Red-bellied Macaw;Arara-de-barriga-ruiva;LC - Pouco Preocupante;Orthopsittaca_manilatus.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/211118/embed;https://macaulaylibrary.org/asset/201710921/embed
Diopsittaca nobilis;Red-shouldered Macaw;Maracanã-pequena;LC - Pouco Preocupante;Diopsittaca_nobilis.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/189474/embed;https://macaulaylibrary.org/asset/200949231/embed
Furnarius rufus;Rufous Hornero;João-de-barro;LC - Pouco Preocupante;Furnarius_rufus.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/73024/embed;https://macaulaylibrary.org/asset/201841801/embed
Cyclarhis gujanensis;Rufous-browed Peppershrike;Pitiguari;LC - Pouco Preocupante;Cyclarhis_gujanensis.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/179854/embed;https://macaulaylibrary.org/asset/179854/embed
Ara macao;Scarlet Macaw;Araracanga;LC - Pouco Preocupante;Ara_macao.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/134193/embed;https://macaulaylibrary.org/asset/464557/embed
Troglodytes musculus (Troglodytes aedon);Southern House Wren;Corru¡ra-de-casa;LC - Pouco Preocupante;Troglodytes_musculus.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/188526/embed;https://macaulaylibrary.org/asset/201921901/embed
Cyanopsitta spixi;Spix's Macaw;Ararinha-azul;CR - Criticamente Ameaçada;Cyanopsitta_spixi.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/135422/embed;https://macaulaylibrary.org/asset/474997/embed
Chiroxiphia caudata;Swallow-tailed Manakin;Tangar ;LC - Pouco Preocupante;Chiroxiphia_caudata.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/57779/embed;https://macaulaylibrary.org/asset/721017/embed
Cyanoloxia brissonii (Passerina brisooni);Ultramarine Grosbeak;Azulão;LC - Pouco Preocupante;Cyanoloxia_brissonii.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/29289/embed;https://macaulaylibrary.org/asset/200932971/embed
Grallaria varia;Variegated Antpitta;Tovacuçu-malhado;LC - Pouco Preocupante;Grallaria_varia.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/127438/embed;https://macaulaylibrary.org/asset/127438/embed
Neothraupis fasciata;White-banded Tanager;Cigarra-do-campo;NT - Quase Amea‡ada;Neothraupis_fasciata.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/220137/embed;https://macaulaylibrary.org/asset/201174231/embed
Ramphastos tucanus;White-throated Toucan;Tucano-de-papo-branco;VU - Vulnerável;Ramphastos_tucanus.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/57099/embed;https://macaulaylibrary.org/asset/721018/embed
Mycteria americana;Wood Stork;Cabeça-seca;LC - Pouco Preocupante;Mycteria_americana.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/225004/embed;https://macaulaylibrary.org/asset/201203311/embed
Turdus flavipes (Platycichla flavipes);Yellow-legged Thrush;Sabiá-uma;LC - Pouco Preocupante;Turdus_flavipes.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/46887/embed;https://macaulaylibrary.org/asset/201589631/embed
Pseudoleistes guirahuro;Yellow-rumped Marshbird;Chupim-do-brejo;LC - Pouco Preocupante;Pseudoleistes_guirahuro.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/44407/embed;https://macaulaylibrary.org/asset/201429171/embed
