especie;nome_comum_ingles;nome_comum_portugues;categoria_ameaca;imagem;macho;femea_jovem;audio;video
Schistochlamys melanopis;Black-faced Tanager;Sanhaço-de-coleira;LC - Pouco Preocupante;Schistochlamys_melanopis.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed/embed;https://macaulaylibrary.org/asset/69352741/embed;https://macaulaylibrary.org/asset/201186311/embed
Ara ararauna;Blue-and-yellow Macaw;Arara-canindé;LC - Pouco Preocupante;Ara_ararauna.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/639191861/embed;https://macaulaylibrary.org/asset/630047289/embed
Primolius maracana;Blue-winged Macaw;Maracanã;NT - Quase Amea‡ada;Primolius_maracana.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/640474787/embed;https://macaulaylibrary.org/asset/201726151/embed
Crypturellus obsoletus;Brown Tinamou;Inhambu-a‡u;LC - Pouco Preocupante;Crypturellus_obsoletus.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/641607124/embed;https://macaulaylibrary.org/asset/612416564/embed
Icterus jamacaii;Campo Troupial;Corrupião;LC - Pouco Preocupante;Icterus_jamacaii.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/638585824/embed;https://macaulaylibrary.org/asset/201202801/embed
Turdus fumigatus;Cocoa Thrush;Sabi -da-mata;LC - Pouco Preocupante;Turdus_fumigatus.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/638395095/embed;https://macaulaylibrary.org/asset/634668958/embed
Campephilus melanoleucos;Crimson-crested Woodpecker;Pica-pau-de-topete-vermelho;LC - Pouco Preocupante;Campephilus_melanoleucos.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/190127/embed;https://macaulaylibrary.org/asset/201184531/embed
Stephanophorus diadematus;Diademed Tanager;Sanhaço-frade;LC - Pouco Preocupante;Stephanophorus_diadematus.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/639563203/embed;https://macaulaylibrary.org/asset/201705631/embed
Penelope obscura;Dusky-legged Guan;Jacuguaçu;LC - Pouco Preocupante;Penelope_obscura.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/641348616/embed;https://macaulaylibrary.org/asset/638564902/embed
Guaruba guarouba;Golden Parakeet;Ararajuba;VU - Vulnerável;Guaruba_guarouba.JPG;https://macaulaylibrary.org/asset/362030111/embed;https://macaulaylibrary.org/asset/173608941/embed;https://macaulaylibrary.org/asset/164251/embed;https://macaulaylibrary.org/asset/592853061/embed
