contagem	especie_CBRO	especie_CNAA	codigo_CNAA	nome_vulgar	familia	grupos	ordem	registros	data	mes	ano	local	latitude	longitude	estacao	imagem
2	Gelochelidon nilotica	Sterna nilotica	GELNI	trinta-re¡s-de-bico-preto	Laridae	Gaivotas e Trinta-r‚is	Charadriiformes	19	12/07/2022	julho	2022	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	gelochelidon_nilotica.png
2	Himantopus melanurus	Himantopus melanurus	HIMML	pernilongo-de-costas-brancas	Recurvirostridae	Pernilongo	Charadriiformes	2	12/07/2022	julho	2022	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	himantopus_melanurus.png
2	Aramides mangle	Aramides mangle	EULMA	saracura-do-mangue	Rallidae	Saracuras e Frangos d'  gua	Gruiformes	10	12/07/2022	julho	2022	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	aramides_mangle.png
3	Ardea cocoi	Ardea cocoi	ARDCO	gar‡a-moura	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	1	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	ardea_cocoi.png
3	Ardea alba	Casmerodius albus	EGRAL	gar‡a-branca-grande	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	70	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	ardea_alba.png
3	Bubulcus ibis	Ardea ibis	BUBIB	gar‡a-vaqueira	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	7	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	bubulcus_ibis.png
3	Egretta caerulea	Egretta caerulea	EGRCA	gar‡a-azul	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	366	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	egretta_caerulea.png
3	Egretta thula	Egretta thula	EGRTH	gar‡a-branca-pequena	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	182	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	egretta_thula.png
3	Nycticorax nycticorax	Nycticorax nycticorax	NYCNY	soc¢-dorminhoco	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	1	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	nycticorax_nycticorax.png
3	Pluvialis squatarola	Pluvialis squatarola	PLUSQ	batuiru‡u-de-axila-preta	Charadriidae	Batuiru‡us e Batu¡ras	Charadriiformes	108	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	pluvialis_squatarola.png
3	Charadrius semipalmatus	Charadrius semipalmatus	CHASE	batu¡ra-de-bando	Charadriidae	Batuiru‡us e Batu¡ras	Charadriiformes	308	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	charadrius_semipalmatus.png
3	Limnodromus griseus	Limnodromus griseus	LIMGR	ma‡arico-de-costas-brancas	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	240	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	limnodromus_griseus.png
3	Limosa haemastica	Limosa haemastica	LIMHA	ma‡arico-de-bico-virado	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	2	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	limosa_haemastica.png
3	Numenius hudsonicus	Numenius phaeopus	NUMPH	ma‡arico-de-bico-torto	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	200	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	numenius_hudsonicus.png
3	Tringa melanoleuca	Tringa melanoleuca	TRIME	ma‡arico-grande-de-perna-amarela	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	16	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	tringa_melanoleuca.png
3	Tringa flavipes	Tringa flavipes	TRIFL	ma‡arico-de-perna-amarela	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	1	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	tringa_flavipes.png
3	Actitis macularia	Actitis macularius	ACTMA	ma‡arico-pintado	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	7	13/02/2023	fevereiro	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	seca	actitis macularia.png
